WINTER,CLOSED,OPENED,DAYS
1853,NA,04/05,NA
1854,12/27,NA,NA
1855,NA,NA,NA
1856,12/18,04/14,118
1857,12/06,05/06,151
1858,11/25,03/26,121
1859,12/08,03/14,96
1860,12/07,03/26,110
1861,12/14,04/10,117
1862,12/02,04/13,132
1863,12/26,04/09,104
1864,12/18,04/21,125
1865,12/08,04/05,118
1866,12/14,04/18,125
1867,12/18,04/20,123
1868,12/12,03/31,110
1869,12/10,04/16,127
1870,12/02,04/12,131
1871,12/24,04/02,99
1872,12/19,04/23,126
1873,11/30,04/23,144
1874,11/29,04/14,136
1875,12/10,04/15,126
1876,01/10,04/10,91
1877,12/08,04/17,130
1878,01/06,03/09,62
1879,12/21,04/12,112
1880,12/17,03/25,99
1881,11/23,05/03,161
1882,01/02,03/21,78
1883,12/10,04/13,124
1884,12/18,04/15,119
1885,12/17,04/20,124
1886,12/12,04/19,128
1887,12/05,04/15,131
1888,12/24,04/15,113
1889,01/02,03/31,88
1890,01/14,03/30,75
1891,12/26,04/16,111
1892,12/27,04/02,97
1893,12/16,04/07,112
1894,12/04,03/15,101
1895,12/28,04/08,101
1896,01/05,04/05,91
1897,12/21,04/10,110
1898,12/17,03/27,100
1899,12/09,04/18,130
1900,12/27,04/17,111
1901,12/25,04/11,107
1902,12/15,03/30,105
1903,12/25,03/24,89
1904,12/13,04/17,126
1905,12/14,04/01,108
1906,01/01,04/08,97
1907,12/20,03/24,94
1908,01/01,03/24,83
1909,12/22,04/07,106
1910,12/18,03/26,98
1911,12/09,03/20,101
1912,12/28,04/14,108
1913,12/24,04/02,99
1914,01/12,04/10,88
1915,12/16,04/10,115
1916,12/28,04/08,102
1917,12/16,04/11,116
1918,12/11,04/05,115
1919,01/03,03/26,82
1920,12/09,03/28,110
1921,12/25,03/16,81
1922,12/25,03/31,96
1923,12/16,04/20,125
1924,01/01,04/14,104
1925,12/19,04/03,105
1926,12/16,04/19,124
1927,12/06,03/19,103
1928,12/17,04/01,106
1929,12/21,03/27,96
1930,12/03,03/20,107
1931,12/16,03/24,98
1932,01/30,04/04,65
1933,12/10,04/04,115
1934,12/25,03/26,91
1935,12/24,03/28,94
1936,12/20,03/30,101
1937,12/07,12/30,NA
1937,01/05,04/13,121
1938,12/07,03/22,105
1939,12/28,04/04,97
1940,01/02,04/16,105
1941,01/05,04/11,96
1942,01/03,03/26,82
1943,12/07,04/02,116
1944,12/16,04/08,114
1945,12/18,03/20,92
1946,12/13,03/21,98
1947,12/30,04/10,101
1948,12/21,04/03,104
1949,12/24,03/30,96
1950,12/23,04/11,109
1951,12/11,04/12,122
1952,12/16,04/08,114
1953,12/30,03/21,81
1954,12/30,03/25,85
1955,01/02,04/04,92
1956,12/12,04/04,114
1957,12/14,04/04,111
1958,12/30,04/04,95
1959,12/09,04/14,126
1960,12/29,04/12,105
1961,12/19,04/06,108
1962,12/16,04/12,117
1963,12/12,04/03,112
1964,12/20,04/11,113
1965,12/15,04/14,120
1966,01/11,03/17,65
1967,12/26,04/03,98
1968,12/27,03/27,91
1969,12/17,12/19,NA
1969,12/25,04/10,108
1970,12/16,04/08,113
1971,12/24,04/13,110
1972,01/05,04/19,105
1973,12/07,03/14,97
1974,12/21,04/05,105
1975,01/02,04/19,107
1976,12/27,03/24,88
1977,12/03,03/28,115
1978,12/07,12/08,NA
1978,12/10,04/11,123
1979,12/10,12/13,NA
1979,12/25,04/19,118
1980,12/29,04/06,99
1981,12/20,03/23,93
1982,12/28,04/03,96
1983,01/13,03/08,54
1984,12/19,04/08,111
1985,12/25,12/26,NA
1985,01/02,03/27,85
1986,12/14,03/31,107
1987,12/13,03/12,89
1988,01/02,03/29,87
1989,12/29,04/05,97
1990,12/12,03/15,93
1991,12/26,03/24,88
1992,12/18,03/26,99
1993,12/24,04/11,108
1994,12/27,03/31,94
1995,01/06,03/21,74
1996,12/10,04/07,119
1997,12/20,04/01,102
1998,01/11,02/27,47
1999,12/30,03/21,82
2000,01/14,03/07,53
2001,12/13,04/07,115
2002,01/02,01/12,NA
2002,03/04,03/15,21
2003,01/04,04/03,89
2004,01/07,03/27,80
2005,12/25,04/05,101
2006,12/19,03/24,95
2007,01/20,03/27,66
2008,12/26,04/10,106
2009,12/16,03/23,97
2010,12/29,03/26,87
2011,12/15,04/03,109
2012,01/14,03/11,57
2013,01/14,04/11,87
2014,12/16,04/12,117
2015,01/02,04/03,91
2016,01/11,03/13,62
2017,01/01,03/07,65
